name,price,first_name,last_name,above_100
william dixon,109.03727959999999,William,Dixon,true
kristen horn,262.5246522,Kristen,Horn,true
kimberly chang,187.00725830000002,Kimberly,Chang,true
mary ball,283.1746476,Mary,Ball,true
benjamin craig,143.87158169999998,Benjamin,Craig,true
cathy werner,61.50899135,Cathy,Werner,
brandon bell,48.6373091,Brandon,Bell,
paul farley,12.38946479,Paul,Farley,
sarah mcdaniel,151.5954472,Sarah,Mcdaniel,true
caroline anderson,75.62152103,Caroline,Anderson,
carl jones,147.0294047,Carl,Jones,true
scott lee,244.18565269999996,Scott,Lee,true
kaylee coleman,17.86427032,Kaylee,Coleman,
charles parker,215.537283,Charles,Parker,true
susan hess,38.35997063,Susan,Hess,
kiara collier,204.1825486,Kiara,Collier,true
scott martinez,165.8514289,Scott,Martinez,true
christopher ortega,30.30144506,Christopher,Ortega,
michael russell,243.17249109999997,Michael,Russell,true
dwayne johnson,287.49328560000004,Dwayne,Johnson,true
patty smith,180.2344257,Patty,Smith,true
deanna sherman,99.79911842,Deanna,Sherman,
douglas francis,161.7688908,Douglas,Francis,true
vicki diaz,18.64987672,Vicki,Diaz,
robin phillips,244.9119836,Robin,Phillips,true
travis rice,141.4988254,Travis,Rice,true
ashley rocha,50.00303731,Ashley,Rocha,
sarah jacobson,80.48182457,Sarah,Jacobson,
kayla shannon,98.91531394,Kayla,Shannon,
sean wang,220.62821769999996,Sean,Wang,true
richard estrada,49.16869151,Richard,Estrada,
joseph torres,150.1237842,Joseph,Torres,true
kim jones,18.8434377,Kim,Jones,
melissa tanner,269.1840299,Melissa,Tanner,true
jackson cline,64.31251721,Jackson,Cline,
sonya foster,296.2155012,Sonya,Foster,true
allen williams,15.390831699999998,Allen,Williams,
thomas rivera,95.22843716,Thomas,Rivera,
jamie silva,296.8244075,Jamie,Silva,true
kathleen moore,92.50052419,Kathleen,Moore,
evelyn pineda,169.2289293,Evelyn,Pineda,true
kyle peters,106.79909520000001,Kyle,Peters,true
anthony cruz,49.10199817,Anthony,Cruz,
eric flores,122.9556986,Eric,Flores,true
anna richardson,254.49526060000002,Anna,Richardson,true
gary harper,47.59652592,Gary,Harper,
linda johnson,115.3627815,Linda,Johnson,true
